school failures higher parentsEdu alcSudyTime GC1 GC2 GC3
0 0 0 0,510309278350515 0,06265664160401 0 0,25 0,25
0 0 0 0,46520618556701 0,031328320802005 0 0,25 0,25
0 0 0 0,4375 0,343358395989975 0,5 0,5 0,5
0 0 0 0,795103092783505 0 0,5 0,5 0,5
0 0 0 0,795103092783505 0,12468671679198 0,25 0,5 0,5
0 0 0 0,795103092783505 0,218671679197995 0,5 0,5 0,5
0 0 0 0,510309278350515 0 0,5 0,5 0,5
0 0 0 0,135309278350515 0,031328320802005 0 0,5 0,5
0 0 0 0,0451030927835052 0 0,75 0,75 0,75
0 0 0 0,75 0 0,5 0,5 0,5
0 0 0 0,27770618556701 0,156015037593985 0,5 0,5 0,5
0 0 0 0,607603092783505 0 0 0,5 0,5
0 0 0 0,84020618556701 0,24937343358396 0,5 0,5 0,5
0 0 0 0,46520618556701 0,12468671679198 0,5 0,5 0,5
0 0 0 0,420103092783505 0 0,5 0,5 0,75
0 0 0 0,322809278350515 0,218671679197995 0,75 0,75 0,75
0 0 0 0,27770618556701 0,281328320802005 0,5 0,5 0,5
0 0 0 0,607603092783505 0,031328320802005 0,5 0,5 0,5
0 0,75 0 0,947809278350515 0,405388471177945 0 0 0
0 0 0 0,84020618556701 0,343358395989975 0,5 0,5 0,5
0 0 0 0 0 0,5 0,5 0,5
0 0 0 0,795103092783505 0 0,25 0,5 0,5
0 0 0 0,75 0,24937343358396 0,5 0,5 0,5
0 0 0 0,90270618556701 0,405388471177945 0 0 0
0 0 0 0,795103092783505 0,031328320802005 0 0,25 0
0 0 0 0,795103092783505 0,343358395989975 0 0,25 0,5
0 0 0 0,795103092783505 0,25 0,25 0,5 0,5
0 0 0 0,15270618556701 0,37406015037594 0,25 0,25 0,25
0 0 0 0,84020618556701 0,031328320802005 0,5 0,5 0,5
0 0 0 1 0,56140350877193 0,5 0,25 0,5
0 0 0 0,829896907216495 0,37406015037594 0 0,25 0,25
0 0 0 0,75 0,031328320802005 0,75 0,75 0,75
0 0 0 0,795103092783505 0 0,5 0,5 0,75
0 0 0 0,232603092783505 0 0,5 0,5 0,5
0 0 0 0,84020618556701 0,06265664160401 0,5 0,5 0,5
0 0 0 0,75 0,06265664160401 0,25 0,25 0,25
0 0 0 0,65270618556701 0 0,5 0,5 0,5
0 0 0 0,84020618556701 0,06265664160401 0,5 0,5 0,5
0 0 0 0,795103092783505 0,031328320802005 0,25 0,5 0,5
0 0 0 0,1875 0,12531328320802 0,5 0,5 0,5
0 0 0 0,46520618556701 0,37531328320802 0,25 0,25 0
0 0 0 0,857603092783505 0,49937343358396 0 0,25 0,25
0 0 0 0,84020618556701 0 0,5 0,75 0,75
0 0 0 0 0 0 0 0
0 0,25 0 0,857603092783505 0,343984962406015 0 0,25 0,25
0 0 0 0,795103092783505 0,06265664160401 0 0,25 0,25
0 0 0 0,555412371134021 0,468045112781955 0,5 0,5 0,5
0 0 0 0,232603092783505 0,031328320802005 0,75 0,75 0,75
0 0 0 0,857603092783505 0,18734335839599 0,25 0,5 0,5
0 0 0 0,510309278350515 0,031328320802005 0,5 0,5 0,5
0 0 0 0,670103092783505 0,24937343358396 0,5 0,5 0,5
0 0 0 0,84020618556701 0 0,75 0,5 0,75
0 0 0 0,96520618556701 0,43671679197995 0 0 0
0 0 0 0,90270618556701 0,24937343358396 0,5 0,5 0,5
0 0 0 0,1875 0,37406015037594 0,5 0,5 0,5
0 0 0 0,322809278350515 0,031328320802005 0,5 0,5 0,5
0 0 0 0,0451030927835052 0 0,75 0,5 0,75
0 0 0 0,795103092783505 0,12531328320802 0,75 0,75 0,75
0 0 0 0,795103092783505 0 0,5 0,5 0,5
0 0 0 0,84020618556701 0,031328320802005 0,75 0,75 0,75
0 0 0 0,71520618556701 0,24937343358396 0,75 0,75 0,75
0 0 0 1 0,49874686716792 0 0 0,75
0 0 0 0,0902061855670103 0 0,5 0,5 0
0 0 0 0,71520618556701 0,37406015037594 0,5 0,5 0,5
0 0 0 0,34020618556701 0,37406015037594 0,5 0,5 0,5
0 0 0 0,0902061855670103 0,156015037593985 0,75 0,75 0,75
0 0 0 0,53479381443299 0,49874686716792 0,25 0,5 0,5
0 0 0 0,84020618556701 0,12468671679198 0 0 0
0 0 0 0,65270618556701 0,24937343358396 0,25 0 0,25
0 0 0 0,4375 0,343358395989975 0,75 0,75 0,75
0 0 0 0,795103092783505 0,031328320802005 0,5 0,25 0,25
0 0 0 0,46520618556701 0 0,25 0 0
0 0 0 0,90270618556701 0,405388471177945 0,5 0,25 0,25
0 0 0 0,8125 0,12468671679198 0,5 0,5 0,5
0 0 0 0,857603092783505 0,43671679197995 0,25 0,25 0,25
0 0 0 0,857603092783505 0,24937343358396 0,25 0,25 0,25
